date,symbol,marketcapname,sector
29-04-2026 11:30:00 AM,MCX,Largecap,Financials
29-04-2026 11:30:00 AM,BSE,Largecap,Financials
29-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
30-04-2026 11:30:00 AM,GLENMARK,Largecap,Healthcare
30-04-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
30-04-2026 11:30:00 AM,MCX,Largecap,Financials
30-04-2026 11:30:00 AM,BSE,Largecap,Financials
30-04-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
04-05-2026 11:30:00 AM,BHEL,Largecap,Industrials
04-05-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
04-05-2026 11:30:00 AM,BSE,Largecap,Financials
04-05-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
05-05-2026 11:30:00 AM,BHEL,Largecap,Industrials
05-05-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
05-05-2026 11:30:00 AM,BSE,Largecap,Financials
05-05-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
06-05-2026 11:30:00 AM,BHEL,Largecap,Industrials
06-05-2026 11:30:00 AM,VEDL,Largecap,Metals & Mining
06-05-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
06-05-2026 11:30:00 AM,BSE,Largecap,Financials
06-05-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
07-05-2026 11:30:00 AM,BHEL,Largecap,Industrials
07-05-2026 11:30:00 AM,LUPIN,Largecap,Healthcare
07-05-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
07-05-2026 11:30:00 AM,MCX,Largecap,Financials
07-05-2026 11:30:00 AM,BSE,Largecap,Financials
07-05-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
08-05-2026 11:30:00 AM,BHEL,Largecap,Industrials
08-05-2026 11:30:00 AM,CUMMINSIND,Largecap,Industrials
08-05-2026 11:30:00 AM,ADANIPOWER,Largecap,Power & Utilities
08-05-2026 11:30:00 AM,MCX,Largecap,Financials
08-05-2026 11:30:00 AM,BSE,Largecap,Financials
08-05-2026 11:30:00 AM,POWERINDIA,Largecap,Industrials
